id_0,AMB_TEM,15,14,14,13,13,13,13,13
id_0,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
id_0,CO,0.36,0.35,0.34,0.33,0.33,0.34,0.34,0.37
id_0,NMHC,0.11,0.09,0.09,0.1,0.1,0.1,0.1,0.11
id_0,NO,0.6,0.4,0.3,0.3,0.3,0.7,0.8,0.8
id_0,NO2,9.3,7.1,6.1,5.7,5.5,5.3,5.5,7.1
id_0,Nox,9.9,7.5,6.4,5.9,5.8,6,6.2,7.8
id_0,O3,36,44,45,44,44,44,43,40
id_0,PM10,51,51,31,40,34,51,42,36
id_0,PM2.5,27,13,24,29,41,30,29,27
id_0,RAINFALINR,NR,NR,NR,NR,NR,NR,NR,NR
id_0,RH,75,71,71,73,74,74,74,74
id_0,SO2,1.2,1.2,1.2,1.6,1.5,1.5,1.5,1.6
id_0,THC,1.9,1.8,1.8,1.9,1.9,1.9,1.9,1.9
id_0,WD_HR,116,114,112,109,111,104,107,108
id_0,WIND_DIR,115,113,105,102,106,106,112,113
id_0,WIND_SPR,2.6,2.2,2,1.9,2.3,2.3,2.5,2.5
id_0,WS_HR,2.1,2.4,2.2,1.9,2.3,2.3,2.5,2.5
